user_id,product_id,product_name,category,review_text,rating,review_length,sentiment_label,country,purchase_amount,purchase_date
U1592,P940 ! !,smartwatch ! !,electronics,initially i thought below expectations,6.5497462524085455,3.258809679436795,positive ! !,India !,132251.58917872296,2021-12-31
U1255,P809,earbuds,electronics, ! !,4.922988944317212,,positive ! !,Australia ! !,-35359.496169504986,2021-12-14
U1108 !,P819 ! !,earbuds ! !,gadgets !,i would say this item is average but acceptable !,-0.6087282345440996,10.433736665476877,neutral !,Canada,103652.21771867666,2021-05-25
U1284 !,P371 ! !,tablet,electronics, !,-0.6824460478276553,,positive ! !,Australia ! !,118339.38311190828,2024-01-05
U1246,P394,camera !,electronics,initially i thought average but acceptable ! !,,4.838753922666379, !,India ! !,92807.59105965518,2024-01-02
U1029 ! !,P319 ! !,headphones ! !,accessories,initially i thought average but acceptable,-0.693962643922549,4.955185185608881,negative,Germany !,16591.37410274414,2023-08-08
U1359 ! !,P740,headphones !,electronics !,after using this for some days value for money !,,10.370184621706013,positive !,UK ! !,54959.16195910126,2021-03-30
U2003 !,P704,earbuds ! !,electronics ! !,from my experience excellent for daily use !,4.653878806699532,6.769510045039439,negative ! !,Australia,136694.8583208409,2023-02-17
U1305,P757 ! !,camera ! !,gadgets,after using this for some days very good and useful,4.698459360414709,12.242710327862357,,UK,66845.52981375087,2023-02-18
U2249 !,P894 !,laptop ! !,gadgets !,after using this for some days very good and useful !,-0.5938776674053923,12.350144736126142,neutral ! !,USA !,129429.763804693,2021-07-05
U1210 ! !,P169,camera !,accessories !,after using this for some days average but acceptable,,10.403808880012484,negative ! !,Australia !,156683.54987524074,2022-05-10
U2473 ! !,P259 !,earbuds !,electronics,overall my opinion is below expectations ! !,1.2043226196953298,4.9770696495293025,negative ! !,Germany,136125.83352256604,2024-01-08
U1266,P173,earbuds,accessories !,,1.1840602602207506,,neutral,USA,26758.48642282247,2022-03-02
U1507 !,P441 ! !,tablet !,gadgets,this product is value for money !,4.770967760603521,5.003876114141916,positive !,UK !,58480.90055691497,2021-04-09
U1832 !,P831 !,tablet !,accessories !,i feel the quality is below expectations,4.68784617192824,6.729010374634148,positive,Canada !,121715.6051642569,2023-02-15
U2088 ! !,P182,phone,gadgets ! !,from my experience value for money,-0.6585938461945514,5.00354714318184,positive,Canada !,129578.99305522544,2023-03-18
U1047 !,P554 ! !,keyboard !,gadgets ! !,overall my opinion is below expectations,2.959705145632242,5.029528252488148,positive ! !,Canada !,52849.028805196314,2024-03-18
U1957 !,P513 !,tablet !,gadgets ! !,overall my opinion is very good and useful,6.666853731546345,8.610579471542364,negative,Germany !,16264.25840704771,2022-04-26
U1456 !,P482 ! !,headphones,gadgets ! !,this product is very good and useful !,-0.5835171358025678,6.830057094371285,neutral,USA,-40170.31013081561,2023-08-15
U1643,P143 ! !,mouse !,electronics ! !, ! !,1.0677601906025957,,neutral ! !,UK !,,2022-12-31
U1530 ! !,P117 !,headphones,accessories ! !, ! !,,,positive !,India ! !,157588.52691822816,2023-08-28
U1607 !,P458,camera ! !,gadgets ! !,i would say this item is disappointing and poor,4.76503916800692,10.444149508285857,,Canada,105901.46644284169,2023-09-23
U2487,P547,keyboard ! !,accessories, ! !,6.544436310667807,,neutral ! !,UK ! !,162149.8555136619,2024-04-14
U1879 !,P841 ! !,phone !,gadgets,overall my opinion is surprisingly good performance !,4.835406815740786,6.707985460301921, !,USA !,-6475.26071153927,2024-03-22
U1158 !,P603,phone ! !,gadgets,from my experience value for money !,-0.5349904394195526,4.907308638577952,negative !,Germany,164571.95175597063,2021-06-26
U1501 ! !,P985 !,headphones !,electronics !,honestly speaking below expectations ! !,,1.428171041607145,neutral !,USA !,105279.62744411897,2023-01-09
U1985,P957 !,headphones,electronics !,this product is average but acceptable ! !,1.1329788178128464,4.976610469606569, !,Canada !,70161.55544523444,2023-10-27
U1465 !,P908 ! !,camera,accessories ! !,after using this for some days value for money !,1.1703953163087277,10.261924773231991,neutral,Australia !,84201.7757312545,2021-07-09
U1505 ! !,P160 ! !,laptop,gadgets ! !,,1.2156106546835503,,negative,UK,69703.79649392213,2021-10-05
U1718,P889 !,headphones ! !,gadgets !,,-0.5389053246076995,,neutral ! !,Germany,35532.38643899114,2021-02-17
U1334 !,P710 !,headphones,accessories ! !,overall my opinion is not worth the money !,1.1583966068901532,8.60508919055052,,Germany ! !,118493.88949852719,2021-04-28
U1904 ! !,P819 ! !,mouse,electronics !,this product is very good and useful ! !,4.7791177515488075,6.812843715111029,negative,Canada,18291.385361974735,2024-03-27
U2395 !,P469 ! !,tablet !,gadgets ! !,i would say this item is surprisingly good performance ! !,-0.6858787343166542,10.46369401065557,negative,UK !,102467.06195590163,2024-02-19
U1210 !,P358 !,earbuds !,accessories ! !,initially i thought average but acceptable ! !,2.9077766434159633,5.134114161920629, !,Australia ! !,135764.49579137887,2023-06-29
U1739,P540 ! !,tablet !,electronics ! !,honestly speaking average but acceptable ! !,-0.5504139139118073,3.086859033672581,,Australia,64732.65548664954,2024-02-01
U1309 ! !,P161,tablet !,accessories !,i would say this item is disappointing and poor ! !,3.087970395898188,10.389977772552161, ! !,Germany ! !,25695.89577026948,2021-05-24
U2324,P172 !,smartwatch,accessories ! !,honestly speaking disappointing and poor ! !,6.587140960825886,3.1723857394611352,positive,Australia !,108677.51009973368,2023-08-16
U2228 !,P813 !,phone !,accessories !,overall my opinion is disappointing and poor ! !,6.663070513529156,6.82818739310964,positive !,UK,78605.6085368087,2023-08-22
U1373 ! !,P937 ! !,smartwatch ! !,accessories ! !,from my experience not worth the money ! !,3.0177548529239555,6.811049619444186, ! !,India !,46527.02550861904,2021-12-30
U2117 !,P797 ! !,headphones ! !,electronics,from my experience average but acceptable,2.946681437312958,4.966396742339501,negative !,Germany !,-13439.263560917245,2021-01-20
U1699 !,P586 !,smartwatch ! !,accessories,,4.817737880150442,,positive,Australia ! !,-8048.557238864575,2023-12-04
U2208 !,P207 ! !,headphones !,accessories !,from my experience disappointing and poor ! !,-0.49919540820683667,4.90636570134502,positive ! !,USA ! !,93863.03658337866,2021-01-20
U1982 ! !,P543,earbuds,gadgets,this product is very good and useful ! !,6.589695429728769,6.871731984186894,negative !,UK ! !,79918.34390499031,2023-09-19
U1779 !,P343 ! !,camera !,gadgets,this product is very good and useful,1.302682958679802,6.83018772122165, !,USA ! !,110190.70697016129,2023-09-30
U1845 ! !,P847 !,phone ! !,accessories ! !,this product is excellent for daily use !,1.0072798356769213,6.8662237325328475,negative !,USA ! !,26618.55529747431,2022-08-29
U1316 !,P992 ! !,mouse !,gadgets ! !,overall my opinion is below expectations,-0.5497519531573138,4.96970908620502,neutral,India,159004.80735428174,2023-10-13
U2448,P586 !,tablet ! !,electronics ! !,this product is surprisingly good performance ! !,-0.601630161241288,4.942484334036155,,Australia ! !,-21444.81679415193,2024-02-15
U2333 ! !,P918,headphones,electronics !,,1.1711157551929063,,positive ! !,India,16130.737748401754,2021-04-04
U1847 !,P970 !,camera,accessories ! !,from my experience below expectations ! !,2.998702609978561,3.222306751832062,positive !,Australia,52220.313783826125,2024-02-14
U1143,P485,mouse,gadgets ! !,from my experience very good and useful,-0.7480907497589876,6.712389800811701,negative !,Canada !,-11317.854700160311,2022-12-07
U2013 ! !,P196,camera,electronics !,from my experience very good and useful,6.576716559699856,6.939377614918508,negative ! !,Germany,-35773.39168646114,2024-03-21
U1062,P379,smartwatch,accessories ! !,from my experience below expectations,,3.0913410004218256,negative !,Canada !,47812.77637214884,2022-10-13
U2480 !,P107,headphones !,accessories,honestly speaking surprisingly good performance ! !,3.0965587413805737,3.2156068389571053,negative,UK !,148304.59879529328,2023-07-12
U1292,P330,earbuds,gadgets ! !,from my experience excellent for daily use !,6.5556365682374205,6.917231853469618,positive,India ! !,120075.9263568739,2022-03-07
U1324 !,P150 ! !,laptop !,accessories !,after using this for some days very good and useful ! !,,12.241180555550006, ! !,Canada ! !,-30057.29955769043,2023-06-09
U2016 !,P367,laptop ! !,electronics !,honestly speaking not worth the money !,4.756802340266205,5.007906628874713,positive !,UK ! !,15680.677165924742,2022-04-24
U1492 ! !,P559 ! !,headphones ! !,accessories,i would say this item is disappointing and poor !,1.2568487905501013,10.317993626347548,neutral,USA,5167.255975140455,2023-01-17
U1288 !,P678 ! !,tablet,gadgets ! !,initially i thought excellent for daily use !,4.815433293608442,6.685515800076704,positive,UK ! !,,2023-03-17
U2104 !,P796 ! !,laptop !,electronics,honestly speaking disappointing and poor !,1.1548254156909525,3.254615384442601, !,India !,37878.73684393987,2023-10-22
U2438 ! !,P132 !,laptop,electronics ! !,this product is excellent for daily use !,4.828459496793845,6.912461189243904,neutral ! !,Australia ! !,131124.26587642377,2022-03-21
U1332 ! !,P782 !,smartwatch ! !,electronics !, !,1.1990779554312043,,neutral,UK ! !,65175.71969782307,2022-12-07
U2343 !,P969,phone !,gadgets !,after using this for some days excellent for daily use ! !,4.860607550028327,12.104588855151192,neutral,Australia !,45664.120468290246,2023-04-30
U1663 !,P968 ! !,mouse ! !,electronics,initially i thought very good and useful ! !,-0.6573378561105302,6.600927454882892,neutral !,Canada,144524.6250866728,2023-07-08
U1495 ! !,P134 !,keyboard !,gadgets !,honestly speaking not worth the money,6.569092827412513,4.9170285149834,positive ! !,Australia,33815.47796394428,2021-11-26
U2459 ! !,P904 ! !,phone ! !,gadgets !,honestly speaking average but acceptable !,,3.1851697398383156,negative,India,92761.56716099537,2023-10-12
U1205,P159 !,headphones,gadgets ! !,after using this for some days average but acceptable ! !,6.488905616305356,10.51976765916209,neutral !,India !,168345.32972682102,2021-05-31
U2433,P884 ! !,phone,electronics,overall my opinion is not worth the money ! !,6.613129671644071,8.646999258962754,negative,USA !,137455.14173913328,2021-08-08
U1410,P213 !,camera,electronics,i would say this item is excellent for daily use ! !,6.610654205681084,12.218076378440216,neutral,USA,132224.58049060582,2024-04-08
U2119 ! !,P859,tablet ! !,gadgets ! !,this product is surprisingly good performance ! !,-0.607414385923326,4.962658210337522,neutral,India ! !,37120.15848622164,2022-09-09
U1883 ! !,P179,tablet ! !,electronics ! !,i would say this item is average but acceptable,-0.6243364041534063,10.348273632590706,,Germany !,5363.205660976475,2021-04-01
U1701 ! !,P952,tablet ! !,accessories,i feel the quality is disappointing and poor ! !,,8.704563477793304,negative ! !,Germany,102111.3742618876,2022-05-25
U2327,P109 ! !,tablet,electronics !,honestly speaking very good and useful,1.1625285423513745,5.009876335181855,positive ! !,USA,,2022-06-21
U1543 !,P581,laptop ! !,accessories,i feel the quality is below expectations !,,6.6288696366384725,neutral !,Canada,119520.5056810564,2021-04-08
U2489 !,P465,camera ! !,electronics ! !,i feel the quality is below expectations,6.53558666976508,6.741171644925286,positive,Australia,61450.84161733897,2021-11-20
U1792 !,P919 !,laptop,accessories,after using this for some days disappointing and poor ! !,2.980838418296391,10.32665894871894,negative ! !,Australia ! !,95357.99960648376,2023-06-04
U1873 ! !,P443 !,smartwatch ! !,accessories !,initially i thought not worth the money !,-0.5792508091967237,6.751173533853677,neutral ! !,UK ! !,75019.80491797018,2021-02-05
U2087 !,P807 !,keyboard !,gadgets,initially i thought disappointing and poor,1.3253827098065776,5.038337440141947, !,UK !,122013.87124477762,2024-03-16
U1750 !,P938,keyboard ! !,gadgets,overall my opinion is very good and useful,6.604549201335991,8.58565790349337,negative !,Germany !,84236.31049798748,2022-02-21
U2036 ! !,P909 !,headphones,electronics !,overall my opinion is surprisingly good performance,3.010406773382701,6.7880609753885155,neutral !,India,140929.95174014938,2021-07-15
U2401 ! !,P651 !,phone !,gadgets !,from my experience not worth the money ! !,2.986969002327101,6.897319998349713,negative ! !,UK ! !,-19205.88772054134,2023-07-29
U1173 ! !,P761,tablet,gadgets !,initially i thought not worth the money !,-0.7432338742640712,6.7393703755059144,neutral,Canada !,134934.9443544153,2021-11-17
U1763 ! !,P738 !,smartwatch,gadgets !,honestly speaking below expectations,-0.6096471642831326,1.5405985391898418,positive !,Germany ! !,80187.82799141055,2023-10-05
U1839 ! !,P966 ! !,phone,accessories ! !,i feel the quality is disappointing and poor ! !,4.796476662922372,8.54134704990994, ! !,USA !,45449.50648599581,2023-12-05
U2205,P864 !,phone !,gadgets,i would say this item is below expectations !,,8.60111099607688,negative !,Canada,-33532.81679137929,2021-06-30
U1217 ! !,P141 ! !,smartwatch !,gadgets,this product is very good and useful,4.778644614769751,6.772003166645583,negative,UK,103993.16860717359,2023-11-18
U1682 !,P687 !,laptop,gadgets,overall my opinion is value for money !,4.813512803356061,6.8038002303500384,negative !,Canada !,51368.8297224952,2022-07-25
U2135 !,P256 !,headphones ! !,electronics, ! !,,,positive ! !,India ! !,121683.13979231994,2021-07-05
U2307,P509 ! !,laptop !,accessories,this product is value for money !,-0.6902799352436493,5.02819411633565, ! !,Australia ! !,-13115.030158785747,2023-02-26
U1686 ! !,P177,mouse,accessories ! !,overall my opinion is below expectations !,6.672903891528716,4.934918074707263,neutral !,Canada,63992.99198934197,2023-06-06
U2210 !,P704 ! !,camera ! !,accessories ! !,i would say this item is surprisingly good performance !,6.645308448340346,10.305857745282236,negative !,Germany,,2021-10-13
U1607 !,P955,headphones,electronics,i feel the quality is below expectations,1.2480686941180665,6.990811837565878,neutral,Canada ! !,71239.81000751948,2023-05-02
U2001 ! !,P341 !,headphones !,gadgets,,1.128025067548071,,negative !,Germany ! !,37256.05840717664,2022-06-01
U1317,P562,tablet !,accessories,this product is below expectations,,3.249048643494614, !,India,163336.91560934528,2021-06-27
U1050 ! !,P513,earbuds ! !,gadgets ! !,,4.693258869636028,,,Canada !,122845.0549419497,2023-06-22
U1297 ! !,P809 ! !,camera !,accessories,i feel the quality is value for money,-0.5663453320987419,8.572128184757382,neutral,UK !,144806.43067733195,2023-07-22
U1080 ! !,P352,mouse,electronics !,after using this for some days excellent for daily use,4.9468630817412285,12.184105506359801,positive,UK ! !,13254.30440571862,2023-10-18
U1633 ! !,P268,tablet,electronics ! !,i feel the quality is disappointing and poor,4.722296242837734,8.631257325700917,neutral,India ! !,123058.54850081887,2022-05-08
U1707 ! !,P326 ! !,mouse ! !,electronics !,overall my opinion is not worth the money ! !,,8.380158780328115,negative ! !,Germany !,73418.22190741941,2022-07-28
U1134,P297,camera ! !,accessories !,honestly speaking disappointing and poor ! !,-0.6007403422339656,3.207157475286205,negative !,Germany,-1225.625948691084,2023-03-12
U2481 !,P771,phone ! !,gadgets !,this product is average but acceptable !,2.9566810124098772,4.90374957709102,negative ! !,Germany,133187.11551439995,2021-07-10
U2044 ! !,P104 ! !,earbuds ! !,accessories ! !,this product is very good and useful !,-0.7172467599438012,6.8195899394653985, !,Australia,69300.55207985087,2024-01-05
U1138 !,P374 ! !,earbuds,accessories !,after using this for some days average but acceptable ! !,,10.312662019600383,negative ! !,USA !,149504.74204956804,2023-03-10
U2482 !,P954 ! !,laptop,accessories,from my experience not worth the money ! !,6.517229717728022,6.726873746474514,negative ! !,USA,30286.786029300052,2022-10-22
U2166 ! !,P940,laptop,electronics,i would say this item is value for money !,-0.574341418778223,10.372598521431073,negative !,Canada !,95761.35863519639,2022-05-11
U1876 !,P711 !,camera,electronics !,honestly speaking below expectations ! !,4.7273165062357,1.3114046466056009,negative ! !,Australia !,85286.39551598916,2023-08-10
U2195 ! !,P774 ! !,tablet ! !,accessories ! !,from my experience below expectations ! !,4.901644537330442,3.1567317792069556,neutral,Canada ! !,147355.8029532275,2023-05-25
U1049 ! !,P353 ! !,tablet !,electronics,initially i thought not worth the money ! !,4.7369296955942595,6.700320597608088,negative ! !,Germany !,130316.25476206838,2022-12-31
U1906 ! !,P155,tablet,electronics ! !,i feel the quality is disappointing and poor !,6.569488212211474,8.450042669936591,positive ! !,UK !,-42023.530291586736,2021-02-01
U1388,P909 !,keyboard !,accessories,from my experience below expectations !,-0.550343924914922,3.274097020822687, !,UK ! !,158412.61844956788,2022-10-25
U1548 ! !,P524 !,phone ! !,accessories ! !,this product is average but acceptable,2.905329932284498,4.892252100015481,negative ! !,India ! !,14094.468604129419,2021-02-23
U2421 ! !,P669,keyboard ! !,gadgets, !,3.0082824930588457,,neutral ! !,UK !,155448.44482040382,2021-03-13
U1783 !,P811 ! !,keyboard !,gadgets !,after using this for some days average but acceptable,,10.453266951324226,neutral ! !,USA ! !,22371.98910622778,2022-03-25
U1730,P214,laptop ! !,gadgets !,overall my opinion is excellent for daily use ! !,2.8787419618590824,8.545776344948765,neutral ! !,Canada,-12260.656771092361,2021-12-13
U1840 !,P561 !,tablet !,accessories !,i would say this item is disappointing and poor,-0.5947408772213736,10.329256175909617,negative ! !,Canada,17699.67669752532,2021-06-13
U1730 !,P762 ! !,smartwatch,electronics ! !,overall my opinion is very good and useful ! !,6.610571432864675,8.611880203702773,positive !,Germany !,153491.57054641427,2023-01-04
U1600 ! !,P904 !,phone ! !,accessories !,after using this for some days below expectations,3.0474185658079214,8.681953642576827,neutral,India ! !,157116.38795590375,2021-03-23
U2307,P725 !,camera ! !,electronics ! !,from my experience surprisingly good performance ! !,-0.6950997457472974,4.902211379579855,,Germany ! !,73988.88863804577,2024-03-11
U2123,P808 !,mouse !,gadgets,after using this for some days average but acceptable !,,10.382302114676728,positive !,Australia,10066.87842483384,2023-09-04
U1195 ! !,P875 !,headphones !,accessories,from my experience value for money,4.829071860027262,4.857954229029335,neutral ! !,UK !,97827.68312772173,2023-04-03
U2181,P854 ! !,camera !,gadgets ! !,i feel the quality is below expectations,3.0131906949720575,6.76320190939678,positive ! !,USA !,-7440.959850172027,2024-03-01
U1671 ! !,P995 ! !,earbuds !,accessories !,i feel the quality is not worth the money ! !,-0.5900914641348137,10.396789359940666,neutral !,Germany !,92520.94134190527,2023-10-29
U2039,P649 ! !,phone !,electronics ! !,after using this for some days surprisingly good performance ! !,4.816682646586856,10.326941176208862,neutral,Canada,162138.92620563964,2021-08-04
U1942,P942,headphones ! !,accessories ! !, !,,,neutral ! !,UK ! !,108117.69108545737,2022-03-19
U1029 ! !,P544 ! !,headphones !,electronics ! !,overall my opinion is below expectations,-0.5913790841722654,4.883436645129748,negative !,Canada !,65109.81414420049,2024-02-16
U2057,P448 !,mouse,gadgets,honestly speaking below expectations !,6.612914507422388,1.400158584864816, ! !,Germany ! !,-608.2649216368709,2021-09-24
U1311,P573 !,mouse !,electronics,from my experience value for money !,,5.077062578498895,neutral,USA,130432.5533802627,2021-10-15
U1014,P327 ! !,smartwatch ! !,electronics,initially i thought surprisingly good performance !,,4.907882930608933,negative ! !,India !,81306.20664953985,2021-08-28
U1739 !,P261 ! !,smartwatch,gadgets !,initially i thought very good and useful ! !,,6.745169070546964,,India ! !,89313.50595840767,2022-09-30
U1645 ! !,P636,mouse ! !,electronics, !,2.9081227869211093,,positive ! !,UK ! !,51422.44437834034,2023-07-29
U1187 !,P241 ! !,tablet !,electronics, !,,, !,Germany,143634.40015827393,2023-09-24
U2252,P299,laptop ! !,accessories ! !,after using this for some days average but acceptable ! !,2.9234155256867522,10.276759869144428,positive,Canada,155306.04109944252,2023-08-13
U1814,P125 ! !,headphones ! !,gadgets !,after using this for some days value for money ! !,1.2477900255704082,10.38083754329732,neutral ! !,Canada !,10304.747690090326,2022-06-14
U1738 !,P658,smartwatch !,accessories ! !,after using this for some days excellent for daily use !,4.874017393202864,12.216351089164789,neutral,USA,77619.37820517311,2021-12-11
U1191,P531 ! !,smartwatch ! !,accessories ! !,,1.134287338057628,,neutral !,USA ! !,60906.834708328235,2023-11-09
U1943,P999 ! !,headphones ! !,electronics ! !,overall my opinion is excellent for daily use,1.2602355869606916,8.399464004830856,negative ! !,UK !,-24103.017649295936,2022-01-10
U2072 ! !,P405 ! !,camera ! !,gadgets ! !,after using this for some days very good and useful ! !,6.621365503035728,12.233479296896583,negative !,USA !,-321.0073252338452,2023-03-15
U1852,P582,camera,electronics,i would say this item is surprisingly good performance !,-0.5497408232253304,10.513497648520547,,Australia,-39314.57117893361,2022-04-07
U1777 ! !,P600 !,tablet ! !,gadgets !,i feel the quality is surprisingly good performance,1.326131532433757,8.603269205024171,positive ! !,India,151723.81326931887,2021-01-20
U1119 ! !,P952,keyboard !,accessories,honestly speaking excellent for daily use,-0.6250989155219253,4.913072477580469, !,Canada !,61251.53905014473,2024-01-14
U1621 !,P381 ! !,laptop !,electronics ! !, !,-0.6609864990312138,,,Canada !,34174.50926521181,2022-07-19
U2173 !,P663 !,laptop ! !,electronics,initially i thought surprisingly good performance,6.529428033198576,5.13318908760766, ! !,Australia,35156.48712611939,2023-06-30
U1384,P904,headphones !,electronics !,after using this for some days not worth the money,4.734631286471664,12.265610329100282,negative !,UK,44906.36183177499,2023-04-24
U2404 !,P361,mouse,gadgets,this product is very good and useful ! !,2.9867815126403943,6.8443975570289926,neutral,Australia ! !,-21091.646292438596,2023-03-09
U1123 ! !,P716 !,phone !,accessories,this product is average but acceptable,6.61630875105408,5.022109897712288,positive ! !,Canada !,91174.4500129416,2021-06-02
U2090 !,P610 ! !,camera !,accessories !,honestly speaking not worth the money,4.81175801888176,4.942146291651181,negative !,USA ! !,139990.98826986508,2024-01-17
U1828 ! !,P815 !,tablet ! !,accessories ! !,from my experience surprisingly good performance ! !,,4.978339622423292, ! !,USA !,-2985.400865218162,2021-12-19
U1483 !,P270 ! !,headphones,electronics ! !,i would say this item is below expectations,,8.587977885772363,negative ! !,Canada,-17823.589142511464,2023-01-14
U1284,P687 !,phone,accessories ! !,from my experience below expectations ! !,3.094839013383602,3.237289410566552,negative !,Australia,10617.10957279714,2023-11-13
U2092 !,P860,phone !,gadgets !,this product is average but acceptable !,2.973540780841365,5.112678998171466,positive ! !,Canada,-31325.141858418487,2022-09-15
U1403,P296,mouse !,accessories,initially i thought excellent for daily use,4.984258993837795,6.881985415384419,positive !,India ! !,49230.05605793073,2022-12-10
U1700 !,P376,headphones ! !,gadgets ! !,overall my opinion is surprisingly good performance,6.636394535271034,6.682559832002806,negative ! !,India ! !,-17566.54152154154,2022-09-22
U1276 ! !,P215 ! !,mouse ! !,accessories !,overall my opinion is disappointing and poor ! !,4.731712314594274,6.811703929319224,neutral,UK ! !,146890.04124895445,2023-02-27
U1143 !,P815 ! !,phone,electronics !,i feel the quality is disappointing and poor,6.516623379774993,8.651999561672753,negative !,India ! !,144746.64242873463,2022-01-08
U2321 !,P986 !,earbuds ! !,electronics !,after using this for some days surprisingly good performance,6.6262854768894455,10.44273421543331,positive !,USA,62380.22333133211,2022-11-28
U1488 ! !,P889 ! !,mouse,gadgets ! !,this product is disappointing and poor ! !,-0.6235510643239378,4.944653399487264,negative,Canada ! !,103656.87108174908,2024-01-03
U1732 ! !,P516 ! !,smartwatch,accessories !,after using this for some days very good and useful,3.042630544587313,12.423105138321139,negative !,UK ! !,-31600.077405552027,2021-12-25
U1990 !,P514 !,keyboard !,accessories ! !,honestly speaking value for money ! !,6.625633533162268,3.093742386206307, ! !,Germany,35163.0825915677,2021-11-10
U1324 ! !,P335 ! !,tablet,gadgets,from my experience very good and useful,,6.708979610171834,negative !,UK ! !,-43869.601916009015,2022-03-29
U1678 ! !,P532 !,headphones,gadgets !,this product is average but acceptable !,-0.6675560348852019,5.012458349084827,neutral ! !,UK !,20956.49849308315,2023-08-05
